Domain,Comment
076.moe,
076.ne.jp,
101010.pl,
10minutepleroma.com,
13bells.com,
1611.social,
434.earth,
4aem.com,
5dollah.click,
80percent.social,
8777.ch,
a.sc,
acg.mn,
activism.openworlds.info,
activitypub-proxy.cf,
activitypub-troll.cf,
adachi.party,
addy.gg,
aethy.com,
agdersam.no,
ai.wiki,
akko.disqordia.space,
alteregocreations.com,
ancreport.com,
ancreport.xyz,
anemoneya.me,
angrytoday.com,
animesexual.community,
annihilation.social,
anon-kenkai.com,
anthro.cc,
arachnid.town,
asbestos.cafe,
asimon.org,
asphodel.rip,
asteroidm.space,
babyfurs.social,
badly.co,
bae.st,
banepo.st,
baraag.net,
bassam.social,
beefyboys.club,
beefyboys.win,
beehaw.org,
beehub.org,
beepboop.ga,
berserker.town,
bgme.me,
bgzashtita.es,
bibly.com,
bikeshed.party,
bird.makeup,
birds.garden,
bitcoinlizard.net,
bitcointv.com,
blackqueer.life,
blockedur.mom,
boks.moe,
boop.juke.fr,Mutual block/no response.
boymoder.biz,
brainsoap.net,
breastmilk.club,
brighteon.social,
bruh.homd.xyz,
bungle.online,
burger.rodeo,
cachapa.moe,
cachapa.xyz,
calobar.club,
campaign.openworlds.info,
campduffel.social,
carnivore.social,
catgirl.life,
cawfee.club,
childpawn.shop,
chudbuds.lol,
cijber.social,Mutual block/no response.
ckpg.space,
clew.lol,
clubcyberia.co,
collapsitarian.io,
comfyboy.club,
commons.whatiwanttoknow.org,
contrapointsfan.club,
coolsite.win,
crlf.ninja,
crucible.world,
cryptodon.lol,
cryptotooter.com,
cum.camp,
cum.salon,
cx.cx,
cyberretards.xyz,
cyberstorm.one,
d-fens.systems,
danksquad.org,
daspr.io,
decayable.ink,
declin.eu,
dembased.xyz,
detroitriotcity.com,
dev-wiki.de,
dickkickextremist.xyz,
dingdash.com,
disqordia.space,
dissident.business,
dixies.land,
djsumdog.com,
docs.kazar.ma,
dragonpsi.xyz,
drow.be,
dtzbts.xyz,
du.capricom.info,
eatthebugs.social,
ebin.club,
eientei.org,
endtimebelievers.com,
enjoyer.network,
epenguin.com,
epsilon.social,
eveningzoo.club,
faggot.zone,
fairy.id,
fbxl.net,
federated.fun,
fedi.seriousbusiness.international,
fediverse.dotnet00.dev,
fedposters.club,
femboys.love,
feral.cafe,
fightthis.net,
firedragonstudios.com,
firefaithfellowship.com,
firefish.sideslip.social,Mutual block/no response.
fluf.club,
fluffytail.gay,
fluffytail.org,
fr13nd5.com,
freak.university,
freeatlantis.com,
freecumextremist.com,
freesoftwareextremist.com,
freespeech.club,
freespeech.group,
freespeech.host,
freespeechextremist.com,
freetalklive.com,
freethinkers.lgbt,
freezepeach.xyz,
frennet.xyz,
friends.ravergram.club,
froth.zone,
fyrfli.social,
gab.ai,
gab.com,
gabe.rocks,
gabfed.com,
gameliberty.club,
gamers.exposed,
gangstalking.services,
gasthe.lgbt,
gearlandia.haus,
geddit.social,
genderheretics.xyz,
gensokyo.club,
gentoo.live,
geofront.rocks,
ghetti.monster,
gleasonator.com,
glee.li,
glindr.org,
glowers.club,
goreslut.xyz,
gorf.pub,
goyim.app,
grim.social,
gts.fyrfli.social,
guizzyordi.info,
h5q.net,
haeder.net,
hallsofamenti.io,
handholding.io,
handicapped.tk,
hedgehoghunter.club,
helladoge.com,
hendrixgames.com,
hentai.baby,
hermitmountain.top,
hidamari.apartments,
hitchhiker.social,
homd.xyz,
honkwerx.tech,
horny.enby.space,
hornyjail.pro,
husk.site,
iamterminally.online,
icosahedron.website,Mutual block/no response.
iddqd.social,
ieji.de,
ignorelist.com,
imastodon.org,
imirhil.fr,
inferencium.net,
inkommit.com,
intkos.link,
inumbra.xyz,
ironbug.org,
justbros.xyz,
kabuki.club,
kafeneio.social,
kawa-kun.com,
kawen.space,
kenhbit.com,
kitsunemimi.club,
kiwifarms.cc,
kiwifarms.is,
kiwifarms.net,
kompost.cz,
kurosawa.moe,
kyaruc.moe,
kys.moe,
lab.nyanide.com,
lain.gay,
lain.sh,
leafposter.club,
lemm.ee,
lemmy.blahaj.zone,
lemmy.world,
lemmynsfw.com,
letsalllovela.in,
lewdieheaven.com,
liberdon.com,
librem.one,
librenet.co.za,
ligma.pro,
lizards.live,
logografos.com,
