Account address,Show boosts,Notify on new posts,Languages
wertercatt@tooters.org,false,false,
ashten@social.platypus-sandbox.com,false,false,
HaruEb@aus.social,false,false,
louis@emacs.ch,false,false,
CynAq@neurodifferent.me,false,false,
bubblefizzpop@retro.pizza,false,false,
Ashley@tooters.org,false,false,
Fury@mastodon.au,false,false,
lewdum@0w0.is,false,false,
ics@ak.tau-ceti.space,false,false,
studiofox@tooters.org,false,false,
alexis@foxgirl.land,false,false,
heidi_helen@mastodon.social,false,false,
david@tech.lgbt,false,false,
sophmcamp@tooters.org,false,false,
PearlescentFerret@tech.lgbt,false,false,
ShadowJonathan@tech.lgbt,false,false,
ErikUden@mastodon.de,false,false,
salierno@mastodon.social,false,false,
HumbleHobo@tooters.org,false,false,
phoenix_fairy@social.thetransagenda.gay,false,false,
lucent@tsukihi.me,false,false,
SallyStrange@autonomous.zone,false,false,
tim@union.place,false,false,
skinnylatte@hachyderm.io,false,false,
dan613@mstdn.ca,false,false,
jb@beige.party,false,false,
isposdef@alaskan.social,false,false,
seachanger@alaskan.social,false,false,
timbray@cosocial.ca,false,false,
Watercolorweirdo@tooters.org,false,false,
rickberkphoto@mastodon.social,false,false,
snowmanghost@cutie.city,false,false,
punko@infosec.exchange,false,false,
RainbowWarrior@gaycity.lgbt,false,false,
Gigi@kolektiva.social,false,false,
wertercatt@possum.city,false,false,
sayyid_qishta@terror.black,false,false,
sandy@tooters.org,false,false,
newlouisallaway@social.coop,false,false,
brass75@twit.social,false,false,
AnarchoNinaAnalyzes@treehouse.systems,false,false,
AnarchoNinaWrites@jorts.horse,false,false,
zachklipp@androiddev.social,false,false,
gambolloch@mastodon.social,false,false,
moldyringwald@mas.to,false,false,
jamieannmason@mastodon.social,false,false,
stephanie@ottawa.place,false,false,
JessTheUnstill@infosec.exchange,false,false,
CharlieVictor7@kind.social,false,false,
kpopncommunism@union.place,false,false,
alicemcalicepants@ohai.social,false,false,
thecodingbeard@techtoots.com,false,false,
thiswomanswerk@blacktwitter.io,false,false,
Bigthinkingcap@beige.party,false,false,
Taurya@tooters.org,false,false,
amd@amd.im,false,false,
Cefr@beige.party,false,false,
kimlockhartga@beige.party,false,false,
revndm@tech.lgbt,false,false,
jeremywadhams@tooters.org,false,false,
Baley@qoto.org,false,false,
mudboot@beige.party,false,false,
abstractcow@tech.lgbt,false,false,
veith@tooters.org,false,false,
chunshek@tooters.org,false,false,
yassie_j@0w0.is,false,false,
noondlyt@mastodon.social,false,false,
jessica@cutie.city,false,false,
aldergroves@tooters.org,false,false,
CJPaloma@tooters.org,false,false,
redlavender@tooters.org,false,false,
aldergroves@federatedfandom.net,false,false,
kitsunecafe@tech.lgbt,false,false,
glacier@tech.lgbt,false,false,
frankiesaxx@social.tchncs.de,false,false,
usernameswift@pleromer.net,false,false,
ThePoetSky@tooters.org,false,false,
anarchosynthism@mastodon.social,false,false,
motel@mstdn.party,false,false,
laneybk@mastodon.social,false,false,
faithisleaping@anarres.family,false,false,
kittywifclaws@hachyderm.io,false,false,
Jack@allthingstech.social,false,false,
talia_christine@beige.party,false,false,
puzzler@cutie.city,false,false,
lisapizza@mastodon.social,false,false,
funkyzach@tooters.org,false,false,
MizzBassie@toot.cat,false,false,
zicklepop@nyan.lol,false,false,
sleepychels@tooters.org,false,false,
Plautus@mindly.social,false,false,
gupton68@mastodon.online,false,false,
konomikitten@tech.lgbt,false,false,
ChocoKayke@tooters.org,false,false,
CliffWade@allthingstech.social,false,false,
Olie@tech.lgbt,false,false,
LALegault@newsie.social,false,false,
Bam@sfba.social,false,false,
ophiocephalic@kolektiva.social,false,false,
phoenix_fairy@girldick.gay,false,false,
MartenHoyle@universeodon.com,false,false,
benerinora@tooters.org,false,false,
HeatherPC@tooters.org,false,false,
rjfaas@mastodon.social,false,false,
milquetoast@tooters.org,false,false,
Em0nM4stodon@infosec.exchange,false,false,
ThirstyGayGeek@gaygeek.social,false,false,
pixelbud@techbacon.social,false,false,
superball@norcal.social,false,false,
RickiTarr@beige.party,false,false,
ivy@cutie.city,false,false,
MarkAsser@beige.party,false,false,
natureon@tech.lgbt,false,false,
smallpatatas@mstdn.patatas.ca,false,false,
Itskilian@gaygeek.social,false,false,
wchanley@mastodon.social,false,false,
Tattooed_mummy@wandering.shop,false,false,
ethanOS@infosec.town,false,false,
jdp23@tooters.org,false,false,
briellebouquet@queer.party,false,false,
nicod@tech.lgbt,false,false,
OctaviaConAmore@cutie.city,false,false,
lisamelton@mastodon.social,false,false,
jdm2@tooters.org,false,false,
mrrg@comicscamp.club,false,false,
theresnotime@wikis.world,false,false,
photomac@mas.to,false,false,
baruch@babka.social,false,false,
OutOnTheMoors@beige.party,false,false,
Andres@mastodon.hardcoredevs.com,false,false,
ainebet@sfba.social,false,false,
fogelnet@darkstar.social,false,false,
1penie@mastodon.social,false,false,
KrissyKat@hoosier.social,false,false,
yayoi272@mastodon.social,false,false,
mgmarkel@universeodon.com,false,false,
kylewritescode@allthingstech.social,false,false,
luana@tech.lgbt,false,false,
adhdeanasl@beige.party,false,false,
angelastella@treehouse.systems,false,false,
benhaube@twit.social,false,false,
nancylwayne@mastodon.social,false,false,
ViolaB@mastodon.social,false,false,
nimbledave@mastodon.social,false,false,
thegibson@hackers.town,false,false,
lauramc@mstdn.ca,false,false,
chameleon_muse@toad.social,false,false,
chrisgrande@twit.social,false,false,
flargh@mastodon.social,false,false,
tanyakaroli@expressional.social,false,false,
squeevening@supernatural.fans,false,false,
jimlindstrom@toot.community,false,false,
e_er1n@hackers.town,false,false,
joshzepeda@mastodon.social,false,false,
nuz@cutie.city,false,false,
Tweetfiction@mastodon.world,false,false,
salad_bar_breath@todon.nl,false,false,
theropologist@beige.party,false,false,
NycAuntie@mas.to,false,false,
cpep@mstdn.science,false,false,
christyxcore@worldkey.io,false,false,
kat3638@universeodon.com,false,false,
lexd0g@wetdry.world,false,false,
letasch@mastodon.online,false,false,
Stoned_Deva_@mas.to,false,false,
clankgy1@infosec.exchange,false,false,
taeluralexis@infosec.exchange,false,false,
SesameSquirrel@mastodon.social,false,false,
MaggieCi@universeodon.com,false,false,
beaveinflow@mstdn.ca,false,false,
LalaKron@tooters.org,false,false,
codanaut@mastodon.social,false,false,
madrobin@mindly.social,false,false,
YadyO@xarxa.cloud,false,false,
film_girl@mastodon.social,false,false,
TheHardyBoyCats@tooters.org,false,false,
SunnJax@tech.lgbt,false,false,
jewishreader@sfba.social,false,false,
patrick_h_lauke@mastodon.social,false,false,
joy@mastodon.social,false,false,
missy_lynn@mastodon.world,false,false,
drahardja@sfba.social,false,false,
pnwres@mastodon.scot,false,false,
onlymeindc@blacktwitter.io,false,false,
xris@ecoevo.social,false,false,
oliveknits@realsocial.life,false,false,
tardisgrl@nerdculture.de,false,false,
nshki@ruby.social,false,false,
Iva852@sunny.garden,false,false,
jo_the_hat@mendeddrum.org,false,false,
